Dist,2018 Winner,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016
AL-01,Bradley Byrne (R),89226,153228,163,36.8,63.2,0.1,-26.4,-29.2,2.8,79.3
AL-02,Martha Roby (R),86931,138879,420,38.4,61.4,0.2,-23,-31.7,8.7,78.7
AL-03,Mike Rogers (R),83996,147770,149,36.2,63.7,0.1,-27.5,-33,5.5,79.6
AL-04,Robert Aderholt (R),46492,184255,222,20.1,79.8,0.1,-59.6,-62.5,2.9,78.9
AL-05,Mo Brooks (R),101388,159063,222,38.9,61,0.1,-22.1,-32.9,10.8,82.8
AL-06,Gary Palmer (R),85644,192542,142,30.8,69.2,0.1,-38.4,-43.8,5.4,82.8
AL-07,Terri Sewell (D),185010,0,4153,97.8,0,2.2,97.8,41.2,-,64.2
AK-AL,Don Young (R),131199,149779,1188,46.5,53.1,0.4,-6.6,-14.7,8.1,88.6
AZ-01,Tom O'Halleran (D),143240,122784,65,53.8,46.1,0,7.7,-1.1,8.8,92
AZ-02,Ann Kirkpatrick (D),161000,133083,69,54.7,45.2,0,9.5,4.8,4.7,91.5
AZ-03,Raul Grijalva (D),114650,64868,0,63.9,36.1,0,27.7,29.5,-1.8,84.8
AZ-04,Paul Gosar (R),84521,188842,3672,30.5,68.2,1.3,-37.7,-39.4,1.7,91.1
AZ-05,Andy Biggs (R),127027,186037,0,40.6,59.4,0,-18.8,-20.5,1.7,91.7
AZ-06,David Schweikert (R),140559,173140,0,44.8,55.2,0,-10.4,-9.8,-0.6,91.2
AZ-07,Ruben Gallego (D),113044,301,18706,85.6,0.2,14.2,85.4,48.3,-,79
AZ-08,Debbie Lesko (R),135569,168835,13,44.5,55.5,0,-10.9,-20.8,9.9,91.5
AZ-09,Greg Stanton (D),159583,101662,0,61.1,38.9,0,22.2,15.9,6.3,90
AR-01,Rick Crawford (R),57907,138757,4581,28.8,68.9,2.3,-40.2,-34.8,-5.4,77.2
AR-02,French Hill (R),116135,132125,5193,45.8,52.1,2,-6.3,-10.7,4.4,82.6
AR-03,Steve Womack (R),74952,148717,6039,32.6,64.7,2.6,-32.1,-31.4,-0.7,78.6
AR-04,Bruce Westerman (R),63984,136740,4168,31.2,66.7,2,-35.5,-32.8,-2.7,75.7
CA-01,Doug LaMalfa (R),131548,160046,0,45.1,54.9,0,-9.8,-19.4,9.6,91.6
CA-02,Jared Huffman (D),243081,72576,0,77,23,0,54,45.2,8.8,90.5
CA-03,John Garamendi (D),134875,97376,0,58.1,41.9,0,16.1,12.5,3.6,88
CA-04,Tom McClintock (R),156253,184401,0,45.9,54.1,0,-8.3,-14.5,6.2,94.6
CA-05,Mike Thompson (D),205860,0,55158,78.9,0,21.1,78.9,44.6,-,85.1
CA-06,Doris Matsui (D),201939,0,0,100,0,0,100,44,-,81.4
CA-07,Ami Bera (D),155016,126601,0,55,45,0,10.1,11.2,-1.1,91
CA-08,Paul Cook (R),0,170785,0,0,100,0,-100,-15.1,-,73.3
CA-09,Jerry McNerney (D),113414,87349,0,56.5,43.5,0,13,18.2,-5.2,82.5
CA-10,Josh Harder (D),115945,105955,0,52.3,47.7,0,4.5,3,1.5,91.3
CA-11,Mark DeSaulnier (D),204369,71312,0,74.1,25.9,0,48.3,47.6,0.7,86
CA-12,Nancy Pelosi (D),275292,41780,0,86.8,13.2,0,73.6,76.6,-3,87.4
CA-13,Barbara Lee (D),260580,0,34257,88.4,0,11.6,88.4,79.3,-,86.9
CA-14,Jackie Speier (D),211384,55439,0,79.2,20.8,0,58.4,58.6,-0.2,89.4
CA-15,Eric Swalwell (D),177989,65940,0,73,27,0,45.9,44.9,1,84.1
CA-16,Jim Costa (D),82266,60693,0,57.5,42.5,0,15.1,21.3,-6.2,83.1
CA-17,Ro Khanna (D),159105,52057,0,75.3,24.7,0,50.7,53.2,-2.5,84.5
